weather_id,park_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean
340,CHI11,2023-07-24,79.1,66.0,0.0,10.4,83
341,CHI11,2023-07-25,83.8,64.8,0.0,12.2,77
342,CHI11,2023-07-26,89.3,72.9,0.815,17.1,81
343,CHI11,2023-07-27,82.1,70.9,0.0,8.9,90
344,CHI11,2023-07-28,88.7,71.5,0.512,17.7,86
345,CHI11,2023-07-29,73.6,67.8,0.043,14.7,85
346,CHI11,2023-07-30,74.4,64.5,0.0,12.7,80
347,CHI11,2023-07-31,76.5,61.9,0.008,9.8,71
348,CHI11,2023-08-01,81.8,64.9,0.008,8.8,70
349,CHI11,2023-08-02,82.2,65.9,0.0,10.1,70
350,CHI11,2023-08-03,81.0,64.8,0.0,9.0,83
351,CHI11,2023-08-04,77.3,68.9,0.0,14.4,85
352,CHI11,2023-08-05,72.4,68.0,0.661,15.0,91
353,CHI11,2023-08-06,70.2,66.2,0.248,19.3,88
354,CHI11,2023-08-07,72.5,66.1,0.016,14.8,80
355,CHI11,2023-08-08,82.8,62.9,0.004,8.6,70
356,CHI11,2023-08-09,80.6,64.8,0.0,9.7,79
357,CHI11,2023-08-10,81.2,63.2,0.067,9.3,80
358,CHI11,2023-08-11,81.6,68.1,0.102,16.7,85
359,CHI11,2023-08-12,78.5,69.5,0.307,11.9,80
360,CHI11,2023-08-13,74.7,64.8,0.087,12.1,82
361,CHI11,2023-08-14,73.7,63.6,0.976,18.8,90
362,CHI11,2023-08-15,69.4,63.0,0.114,20.4,84
363,CHI11,2023-08-16,79.6,58.4,0.0,14.6,73
364,CHI11,2023-08-17,78.7,65.0,0.583,18.9,65
365,CHI11,2023-08-18,72.6,57.8,0.0,12.7,68
366,CHI11,2023-08-19,78.9,61.2,0.016,15.4,72
367,CHI11,2023-08-20,80.5,68.3,0.0,11.0,85
368,CHI11,2023-08-21,72.9,67.9,0.0,14.4,86
369,CHI11,2023-08-22,80.2,67.7,0.0,12.8,87
370,CHI11,2023-08-23,96.8,76.4,0.0,16.4,77
371,CHI11,2023-08-24,97.3,78.2,0.72,23.9,78
372,CHI11,2023-08-25,75.5,70.1,0.004,14.7,88
373,CHI11,2023-08-26,72.8,64.3,0.055,21.7,88
374,CHI11,2023-08-27,68.9,62.5,0.0,13.9,74
375,CHI11,2023-08-28,73.8,61.5,0.0,8.4,68
376,CHI11,2023-08-29,82.6,63.2,0.028,18.8,72
377,CHI11,2023-08-30,65.2,60.0,0.039,18.3,73
378,CHI11,2023-08-31,69.9,59.7,0.0,8.7,73
379,CHI12,2023-06-30,87.2,70.4,0.0,9.3,82
380,CHI12,2023-07-01,79.8,70.0,0.921,9.3,90
381,CHI12,2023-07-02,70.5,62.4,5.425,26.1,98
382,CHI12,2023-07-03,74.7,61.7,0.0,10.3,82
383,CHI12,2023-07-04,85.3,64.8,0.004,9.6,74
384,CHI12,2023-07-05,85.5,69.8,1.531,12.2,84
385,CHI12,2023-07-06,70.4,64.6,0.039,12.0,89
386,CHI12,2023-07-07,73.5,63.8,0.004,10.6,80
387,CHI12,2023-07-08,69.0,63.0,0.307,12.4,84
388,CHI12,2023-07-09,79.0,59.6,0.012,9.9,70
389,CHI12,2023-07-10,84.3,62.1,0.0,13.8,64
390,CHI12,2023-07-11,83.8,65.1,0.276,16.0,77
391,CHI12,2023-07-12,77.4,62.9,1.331,18.4,85
392,CHI12,2023-07-13,74.1,60.7,0.0,10.1,84
393,CHI12,2023-07-14,87.8,67.0,0.24,16.1,77
394,CHI12,2023-07-15,82.9,68.7,0.228,9.9,81
395,CHI12,2023-07-16,81.9,65.8,0.0,16.7,64
396,CHI12,2023-07-17,74.2,64.7,0.0,12.0,71
397,CHI12,2023-07-18,73.0,61.4,0.0,10.2,74
398,CHI12,2023-07-19,78.4,59.5,0.0,9.0,77
399,CHI12,2023-07-20,85.9,67.0,0.035,16.9,72
400,CHI12,2023-07-21,74.5,64.8,0.004,13.4,78
401,CHI12,2023-07-22,82.8,62.1,0.0,7.9,66
402,CHI12,2023-07-23,79.3,64.3,0.0,9.3,75
403,CHI12,2023-07-24,82.1,65.6,0.0,11.1,74
404,CHI12,2023-07-25,87.6,65.4,0.0,10.3,67
405,CHI12,2023-07-26,89.6,73.1,0.831,18.0,79
406,CHI12,2023-07-27,83.8,70.7,0.0,9.0,88
407,CHI12,2023-07-28,89.9,72.3,0.909,18.1,83
408,CHI12,2023-07-29,74.3,68.3,0.035,14.8,85
409,CHI12,2023-07-30,74.8,64.2,0.004,14.0,81
410,CHI12,2023-07-31,77.1,60.9,0.008,10.2,70
411,CHI12,2023-08-01,82.2,64.0,0.012,8.6,69
412,CHI12,2023-08-02,82.9,65.1,0.0,9.7,68
413,CHI12,2023-08-03,82.4,64.2,0.0,8.3,80
414,CHI12,2023-08-04,78.2,68.8,0.0,14.6,83
415,CHI12,2023-08-05,73.2,67.6,0.917,14.3,89
416,CHI12,2023-08-06,70.3,66.0,0.228,19.3,86
417,CHI12,2023-08-07,73.3,65.9,0.024,14.4,81
418,CHI12,2023-08-08,82.3,61.9,0.016,8.5,67
419,CHI12,2023-08-09,80.7,64.0,0.0,9.1,78
420,CHI12,2023-08-10,82.0,62.6,0.098,9.3,78
421,CHI12,2023-08-11,82.1,67.6,0.343,17.7,83
422,CHI12,2023-08-12,79.5,69.5,0.307,12.3,79
423,CHI12,2023-08-13,75.8,64.0,0.047,12.5,81
424,CHI12,2023-08-14,73.8,63.7,0.917,20.8,88
425,CHI12,2023-08-15,70.2,63.2,0.157,19.6,84
426,CHI12,2023-08-16,79.4,57.7,0.0,14.6,73
427,CHI12,2023-08-17,78.7,63.9,0.409,19.0,66
428,CHI12,2023-08-18,72.9,56.9,0.0,12.7,68
429,CHI12,2023-08-19,79.8,60.3,0.012,15.2,71
