date,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,relative_humidity_2m_mean,park_id
2023-08-08,102.1,84.0,0.059,16.2,44,ARL01
2023-08-09,106.8,83.6,0.004,17.9,42,ARL01
2023-08-10,108.1,84.7,0.0,15.7,42,ARL01
2023-08-11,107.7,85.0,0.0,15.2,40,ARL01
2023-08-12,107.9,82.6,0.0,17.2,41,ARL01
2023-08-13,107.1,83.1,0.0,15.6,41,ARL01
2023-08-14,100.0,83.9,0.0,16.1,40,ARL01
2023-08-15,94.6,78.0,0.0,13.0,36,ARL01
2023-08-16,96.0,72.4,0.0,9.3,38,ARL01
2023-08-17,109.1,76.9,0.0,10.3,30,ARL01
2023-08-18,108.8,84.9,0.0,9.7,28,ARL01
2023-08-19,106.4,85.7,0.0,14.0,30,ARL01
2023-08-20,107.1,83.7,0.0,15.9,35,ARL01
2023-08-21,104.3,83.1,0.0,13.4,40,ARL01
2023-08-22,102.7,84.3,0.0,12.1,41,ARL01
2023-08-23,103.4,84.0,0.0,9.9,41,ARL01
2023-08-24,103.8,86.6,0.0,7.4,37,ARL01
2023-08-25,107.9,86.3,0.0,14.6,34,ARL01
2023-08-26,107.3,88.7,0.0,8.1,30,ARL01
2023-08-27,95.8,79.3,0.079,12.8,56,ARL01
2023-08-28,93.5,78.3,0.0,13.8,50,ARL01
2023-08-29,96.8,77.1,0.0,11.5,45,ARL01
2023-08-30,98.2,77.4,0.0,13.0,38,ARL01
2023-08-31,96.6,75.4,0.0,10.1,41,ARL01
2023-06-30,98.6,79.6,0.0,13.4,53,ARL02
2023-07-01,93.0,78.1,0.0,14.1,57,ARL02
2023-07-02,89.7,73.6,0.598,12.1,72,ARL02
2023-07-03,95.6,76.6,0.106,16.8,62,ARL02
2023-07-04,94.8,74.7,0.11,16.5,68,ARL02
2023-07-05,95.5,79.8,0.028,11.7,61,ARL02
2023-07-06,93.9,79.0,0.008,17.8,64,ARL02
2023-07-07,95.4,77.4,0.0,16.1,61,ARL02
2023-07-08,96.7,79.0,0.362,12.8,62,ARL02
2023-07-09,90.7,78.9,1.067,13.5,74,ARL02
2023-07-10,92.1,75.4,0.492,12.0,80,ARL02
2023-07-11,94.2,76.6,0.555,14.7,75,ARL02
2023-07-12,101.4,81.4,0.0,14.3,56,ARL02
2023-07-13,102.1,81.1,0.0,18.0,56,ARL02
2023-07-14,102.4,82.6,0.0,16.5,50,ARL02
2023-07-15,98.4,81.5,0.016,16.1,57,ARL02
2023-07-16,90.4,76.1,0.465,13.6,76,ARL02
2023-07-17,103.8,77.3,0.0,14.9,51,ARL02
2023-07-18,106.5,83.7,0.0,16.0,39,ARL02
2023-07-19,104.5,82.8,0.0,15.4,43,ARL02
2023-07-20,101.8,81.6,0.0,15.7,47,ARL02
2023-07-21,101.6,82.3,0.0,11.8,44,ARL02
2023-07-22,93.3,77.2,0.0,13.8,53,ARL02
